id,saved_listing_id,airbnb_listing_id,listing_url,title,property_type,bedrooms,baths,accommodates,beds,rating,reviews,similarity_score,pool_score,effective_rank_score,tenure_runs,price_reliability_score,last_nightly_price,status,price_date,lat,lng,amenities,is_weekend,is_holiday
a52e66af-f760-4042-b417-d52bf2ff550e,bdef28dc-2134-40b8-875d-350f7c28a0fe,639745122577392003,https://www.airbnb.com/rooms/639745122577392003?adults=5&check_in=2026-04-05&check_out=2026-04-07&search_mode=regular_search&source_impression_id=p3_1774568665_P3JrEGzyEl7qM105&previous_page_section_name=1000&federated_search_id=cb8babb5-dd9e-4f81-aff5-55aa826cec5e,Entire Home - Cozy Near Downtown | Fast WIFI,entire_home,2.0,2.0,6.0,,4.91,80.0,0.712,0.712,0.712,1.0,1.0,269.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
f351b0ba-5846-4d33-847a-d187718a08c7,bdef28dc-2134-40b8-875d-350f7c28a0fe,572838935375997076,https://www.airbnb.com/rooms/572838935375997076?adults=5&check_in=2026-04-03&check_out=2026-04-05&search_mode=regular_search&source_impression_id=p3_1774855107_P3CanQy2M8984mdA&previous_page_section_name=1000&federated_search_id=de1c3de8-5645-479b-9c1c-12f7453c93cf,175 - Modern Mtn View 2B1B Big Yard near Downtown,entire_home,2.0,,,,4.61,,0.567,0.567,0.567,3.0,1.0,257.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
3194e7a3-ae9a-4870-913d-2f4399023e26,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1605234938337255869,https://www.airbnb.com/rooms/1605234938337255869?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836151_P3N__OZxyZkQmTIw&previous_page_section_name=1000&federated_search_id=54725a29-1220-4f91-92c8-a4bedcaffa90,Gateway to Seattle! Lynnwood Home w/ Gazebo & Yard,entire_home,5.0,,,,,,0.547,0.547,0.547,1.0,1.0,418.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
914d418e-bfa7-4b96-84d6-4cad21b303ef,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,897188690689950812,https://www.airbnb.com/rooms/897188690689950812?adults=10&check_in=2026-04-02&check_out=2026-04-04&search_mode=regular_search&source_impression_id=p3_1774836159_P3ATmUXmjLm2A0mE&previous_page_section_name=1000&federated_search_id=ee886338-d787-4b3e-ae7c-146bb5c2689b,Luxurious 5 Bedroom Home with A/C & EV Charger,entire_home,5.0,,,,4.96,,0.547,0.547,0.547,1.0,1.0,312.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
074c5922-dffd-425e-8b85-2c656697eebb,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1474383155759833555,https://www.airbnb.com/rooms/1474383155759833555?adults=10&check_in=2026-04-05&check_out=2026-04-06&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774836168_P3QKGmFDNtdP5s2d&previous_page_section_name=1000&federated_search_id=e067ea05-361d-490c-be24-3235f452e519,Peaceful Upper Unit in Edmonds | Mins to Ferry,entire_home,5.0,,,,4.85,,0.547,0.547,0.547,1.0,1.0,370.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
efff3527-cc01-4f1e-a393-08940dad989f,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,671656262325205168,https://www.airbnb.com/rooms/671656262325205168?adults=10&check_in=2026-04-10&check_out=2026-04-12&search_mode=regular_search&source_impression_id=p3_1774836194_P3ekUrsUECFghvvZ&previous_page_section_name=1000&federated_search_id=dcd8ce68-d957-4ab5-980c-4a45de085c8f,Sammamish Modern Family & Pet Friendly,entire_home,5.0,,,,4.92,,0.547,0.547,0.547,1.0,1.0,421.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
59349b6b-4b67-44f1-a699-a0ebe304b7a9,043f61b7-4737-44c3-99df-8daa074df9b0,1029716475417900722,https://www.airbnb.com/rooms/1029716475417900722?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836307_P3BSCfc8ysLZWbck&previous_page_section_name=1000&federated_search_id=dddf0526-05ff-4d71-805a-7063fd459227,Sunset Hill - Ballard 5bed/3bath,entire_home,5.0,3.0,16.0,,4.67,21.0,0.686,0.686,0.686,1.0,1.0,264.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
32a8a673-69a8-47f1-b30c-b8cfed979467,043f61b7-4737-44c3-99df-8daa074df9b0,660222993467203579,https://www.airbnb.com/rooms/660222993467203579?adults=10&check_in=2026-04-12&check_out=2026-04-14&search_mode=regular_search&source_impression_id=p3_1774836360_P3gWu6toFZvcZBxr&previous_page_section_name=1000&federated_search_id=657aa50e-25ad-4b45-8f2f-b55c64926d40,Space for all - 5 bedrooms 3 baths. Come Relax!,entire_home,5.0,3.0,16.0,,4.42,161.0,0.666,0.666,0.666,1.0,1.0,280.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
3c6a80d4-15ee-4b79-88f7-77a5b8b815bd,043f61b7-4737-44c3-99df-8daa074df9b0,720401822168599749,https://www.airbnb.com/rooms/720401822168599749?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836307_P3QfVEoXwxLWBcNF&previous_page_section_name=1000&federated_search_id=dddf0526-05ff-4d71-805a-7063fd459227,5BR Family Home Near Seattle | Parks & Playgrounds,entire_home,5.0,2.0,10.0,,4.9,61.0,0.567,0.567,0.567,1.0,1.0,335.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
ce5dd0fa-63eb-4c5c-9159-b5d19cce63f4,043f61b7-4737-44c3-99df-8daa074df9b0,1382012217741695975,https://www.airbnb.com/rooms/1382012217741695975?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836307_P3TyDziJAH4xP1_V&previous_page_section_name=1000&federated_search_id=dddf0526-05ff-4d71-805a-7063fd459227,Sunsets Hill – Stunning Water & Mountain Views,entire_home,5.0,5.0,10.0,,4.97,32.0,0.567,0.567,0.567,1.0,0.0,571.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
0e937a9c-de0d-4c46-8f4c-c9a6f0092a64,043f61b7-4737-44c3-99df-8daa074df9b0,1305486972883381375,https://www.airbnb.com/rooms/1305486972883381375?adults=10&check_in=2026-04-14&check_out=2026-04-16&search_mode=regular_search&source_impression_id=p3_1774836369_P30yzVk18IPGUWGT&previous_page_section_name=1000&federated_search_id=7d390bd2-aee9-4aa2-b1f6-32b4118538d0,Beautifully fully remodeled Fairwood Home,entire_home,5.0,3.0,10.0,,4.88,58.0,0.567,0.567,0.567,1.0,1.0,228.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
c76ae9d4-8c17-493d-840e-fcef61b22143,bdef28dc-2134-40b8-875d-350f7c28a0fe,1338668095115725326,https://www.airbnb.com/rooms/1338668095115725326?adults=5&check_in=2026-04-12&check_out=2026-04-15&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774855156_P3ih7AvCOf8KuEgU&previous_page_section_name=1000&federated_search_id=58b968a6-f054-42c7-b5cf-01de948a4b98,Apr 12 to 15,entire_home,2.0,1.0,5.0,,5.0,58.0,0.98,0.98,0.98,3.0,1.0,380.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
21d550f5-7e53-4d6d-996a-92cde85a25cd,c741f0c6-9e52-4738-99a4-9dfeb854de6f,689925441443970694,https://www.airbnb.com/rooms/689925441443970694?adults=6&check_in=2026-04-01&check_out=2026-04-03&search_mode=regular_search&source_impression_id=p3_1774944470_P3OHtVhGxl_XR5qb&previous_page_section_name=1000&federated_search_id=6903c397-c7fd-4a8f-874c-099630e047e2,Guest suite in Lake Forest Park,entire_home,3.0,2.0,8.0,,4.97,75.0,0.667,0.667,0.667,2.0,1.0,254.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
06059c98-baca-4f88-9040-bf0c6b4c50cb,043f61b7-4737-44c3-99df-8daa074df9b0,25265218,https://www.airbnb.com/rooms/25265218?adults=10&check_in=2026-04-18&check_out=2026-04-20&search_mode=regular_search&source_impression_id=p3_1774836385_P3xGY6uA7LFSPN89&previous_page_section_name=1000&federated_search_id=e23b33fd-f9a4-49ed-877d-521a59ef64e0,The Switch,entire_home,5.0,5.0,10.0,,4.67,57.0,0.567,0.567,0.567,1.0,1.0,611.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
477f180b-bc74-44c8-8153-3d9956e61fc1,043f61b7-4737-44c3-99df-8daa074df9b0,40408205,https://www.airbnb.com/rooms/40408205?adults=10&check_in=2026-04-18&check_out=2026-04-20&search_mode=regular_search&source_impression_id=p3_1774836385_P3GKWGzDXiYEMe2t&previous_page_section_name=1000&federated_search_id=e23b33fd-f9a4-49ed-877d-521a59ef64e0,The Fun House - Our yellow home on a hill,entire_home,5.0,,,,4.86,,0.567,0.567,0.567,1.0,1.0,480.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
5d890903-5449-428e-af42-1a0d7d47639f,043f61b7-4737-44c3-99df-8daa074df9b0,620270370344927399,https://www.airbnb.com/rooms/620270370344927399?adults=10&check_in=2026-04-28&check_out=2026-04-30&search_mode=regular_search&source_impression_id=p3_1774836426_P3JHnsrx1mKXst4o&previous_page_section_name=1000&federated_search_id=11518ebe-8f51-43c6-ac3d-eb0f41ddab0d,Castle House with an Ocean View!,entire_home,5.0,,,,4.64,,0.567,0.567,0.567,1.0,0.0,670.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
13110707-1041-425c-9ad5-ff8818c0ee0b,043f61b7-4737-44c3-99df-8daa074df9b0,52268987,https://www.airbnb.com/rooms/52268987?adults=10&check_in=2026-04-10&check_out=2026-04-12&search_mode=regular_search&source_impression_id=p3_1774836351_P3X5A30oGn_-3uV_&previous_page_section_name=1000&federated_search_id=96eb3227-f89c-466d-9b66-d8b3a568ea67,UW -Upgraded Home with 5BR/4Ba/4Parking/EV charger,entire_home,5.0,4.0,,,4.9,,0.564,0.564,0.564,1.0,1.0,425.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
abbe9d75-7c99-4fdd-9ea6-7a3768cc8a7f,043f61b7-4737-44c3-99df-8daa074df9b0,1474383155759833555,https://www.airbnb.com/rooms/1474383155759833555?adults=10&check_in=2026-04-01&check_out=2026-04-02&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774836307_P3PpDa3NjEp9CB9M&previous_page_section_name=1000&federated_search_id=dddf0526-05ff-4d71-805a-7063fd459227,Peaceful Upper Unit in Edmonds | Mins to Ferry,entire_home,5.0,,,,4.85,,0.547,0.547,0.547,1.0,1.0,350.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
41d7f6d7-873c-4b6f-8162-5f0288d2ccf8,043f61b7-4737-44c3-99df-8daa074df9b0,897188690689950812,https://www.airbnb.com/rooms/897188690689950812?adults=10&check_in=2026-04-01&check_out=2026-04-02&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774836307_P3SrI2Le7tAYgEuJ&previous_page_section_name=1000&federated_search_id=dddf0526-05ff-4d71-805a-7063fd459227,Luxurious 5 Bedroom Home with A/C & EV Charger,entire_home,5.0,,,,4.96,,0.547,0.547,0.547,1.0,1.0,375.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
60642a7d-724f-4f9b-b485-ee8595d04ba9,043f61b7-4737-44c3-99df-8daa074df9b0,1476337820357866514,https://www.airbnb.com/rooms/1476337820357866514?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836307_P3HoQO6z4mzv_LZE&previous_page_section_name=1000&federated_search_id=dddf0526-05ff-4d71-805a-7063fd459227,Luxury retreat near Martha Lake w/ detached studio,entire_home,5.0,,,,5.0,,0.547,0.547,0.547,1.0,1.0,558.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
554f269a-ce00-418f-bd82-de03adcec7cf,043f61b7-4737-44c3-99df-8daa074df9b0,1605234938337255869,https://www.airbnb.com/rooms/1605234938337255869?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836307_P3B4lt1MLuf6djUj&previous_page_section_name=1000&federated_search_id=dddf0526-05ff-4d71-805a-7063fd459227,Gateway to Seattle! Lynnwood Home w/ Gazebo & Yard,entire_home,5.0,,,,,,0.547,0.547,0.547,1.0,1.0,418.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
fed322ff-88d3-4bd1-b2c8-3a46c78dfd2d,043f61b7-4737-44c3-99df-8daa074df9b0,1451165064073067236,https://www.airbnb.com/rooms/1451165064073067236?adults=10&check_in=2026-04-06&check_out=2026-04-07&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774836334_P3aDkjVUEC0vnNwE&previous_page_section_name=1000&federated_search_id=adcc4bca-7806-4660-8742-87970b1defe4,Spacious 5-Beds Family Retreat with Mountain View,entire_home,5.0,,,,4.91,,0.547,0.547,0.547,1.0,1.0,496.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
679d1bd6-49c7-410c-83c7-4fb2a851069b,043f61b7-4737-44c3-99df-8daa074df9b0,671656262325205168,https://www.airbnb.com/rooms/671656262325205168?adults=10&check_in=2026-04-10&check_out=2026-04-12&search_mode=regular_search&source_impression_id=p3_1774836351_P36HRgMpuYAX_2js&previous_page_section_name=1000&federated_search_id=96eb3227-f89c-466d-9b66-d8b3a568ea67,Sammamish Modern Family & Pet Friendly,entire_home,5.0,,,,4.92,,0.547,0.547,0.547,1.0,1.0,421.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
08a10b41-cc1a-47e0-a934-6d75b2e6222b,c741f0c6-9e52-4738-99a4-9dfeb854de6f,1436394167885921063,https://www.airbnb.com/rooms/1436394167885921063?adults=6&check_in=2026-04-06&check_out=2026-04-08&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774944489_P3wLIl5Qgq_ttxJG&previous_page_section_name=1000&federated_search_id=a2f8b480-009a-408f-934a-3b9855158508,Apr 6 to 8,entire_home,3.0,2.0,6.0,,4.91,32.0,0.667,0.667,0.667,2.0,1.0,232.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
c0dc6f89-12cf-45f6-bae9-9b3b23f77c7e,c741f0c6-9e52-4738-99a4-9dfeb854de6f,1318335413401322416,https://www.airbnb.com/rooms/1318335413401322416?adults=6&check_in=2026-04-07&check_out=2026-04-09&search_mode=regular_search&source_impression_id=p3_1774944497_P3WPyCOejoCbaHNg&previous_page_section_name=1000&federated_search_id=00db5155-3ddc-48e6-a486-c8e8e45b2448,Cozy Rustic Retreat 3BR/2BA – Light Rail (<1 Mile),entire_home,3.0,2.0,6.0,,4.92,24.0,0.667,0.667,0.667,2.0,1.0,229.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
882a8313-bb11-4da9-a7be-1f84970726cc,c741f0c6-9e52-4738-99a4-9dfeb854de6f,1284763421467614793,https://www.airbnb.com/rooms/1284763421467614793?adults=6&check_in=2026-04-13&check_out=2026-04-15&search_mode=regular_search&source_impression_id=p3_1774944524_P3sYayYLygHBILng&previous_page_section_name=1000&federated_search_id=fd6a9f00-d0a3-4f71-b9ea-8369d3463e4d,Show price breakdown,entire_home,3.0,2.0,11.0,,4.9,29.0,0.619,0.619,0.619,2.0,1.0,280.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
dc93c481-6864-47a8-a39a-e78892d35afb,c741f0c6-9e52-4738-99a4-9dfeb854de6f,806827985551738270,https://www.airbnb.com/rooms/806827985551738270?adults=6&check_in=2026-04-01&check_out=2026-04-03&search_mode=regular_search&source_impression_id=p3_1774944470_P3qZOH7FdCMGBp1A&previous_page_section_name=1000&federated_search_id=6903c397-c7fd-4a8f-874c-099630e047e2,Four seasons home,entire_home,3.0,2.0,6.0,,4.89,142.0,0.567,0.567,0.567,2.0,1.0,179.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
75a497c3-c816-4361-8fff-198c32084ad5,c741f0c6-9e52-4738-99a4-9dfeb854de6f,1238596634347977505,https://www.airbnb.com/rooms/1238596634347977505?adults=6&check_in=2026-04-01&check_out=2026-04-03&search_mode=regular_search&source_impression_id=p3_1774944470_P32xkmpRUvJ0Bheb&previous_page_section_name=1000&federated_search_id=6903c397-c7fd-4a8f-874c-099630e047e2,Relaxing 3BDR/2 B 1-mile to light rail!,entire_home,3.0,,,,4.92,,0.567,0.567,0.567,2.0,1.0,277.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
9e3b5d50-bd19-4623-a56f-358fcd0cf2be,c741f0c6-9e52-4738-99a4-9dfeb854de6f,1547923392474300597,https://www.airbnb.com/rooms/1547923392474300597?adults=6&check_in=2026-04-03&check_out=2026-04-05&search_mode=regular_search&source_impression_id=p3_1774944479_P3gWzGoB1goLp0Xx&previous_page_section_name=1000&federated_search_id=2f73b4d1-cb0a-470c-a282-24dfaf5c7f20,Lynnwood | Upper-Level Home in Remodeled Duplex,entire_home,3.0,,,,5.0,,0.567,0.567,0.567,2.0,1.0,358.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
aa0b2a99-fe68-436e-bb45-6dfcac6d0247,c741f0c6-9e52-4738-99a4-9dfeb854de6f,748927895666692160,https://www.airbnb.com/rooms/748927895666692160?adults=6&check_in=2026-04-05&check_out=2026-04-07&search_mode=regular_search&source_impression_id=p3_1774944488_P3tQ-n8xNr5JXZwI&previous_page_section_name=1000&federated_search_id=a2f8b480-009a-408f-934a-3b9855158508,Stylish Lower Unit | 8 Mins to Ferry Terminal,entire_home,3.0,2.0,9.0,,4.72,69.0,0.567,0.567,0.567,2.0,1.0,185.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
508237a4-48f0-4c3a-b75f-74afe8f1e34f,bdef28dc-2134-40b8-875d-350f7c28a0fe,705327151716911393,https://www.airbnb.com/rooms/705327151716911393?adults=5&check_in=2026-04-08&check_out=2026-04-10&search_mode=regular_search&source_impression_id=p3_1774835995_P3ZWwpUYdScRhFoc&previous_page_section_name=1000&federated_search_id=002fae3a-47d5-465d-b801-b15d37a027e1,Luxury 2BR Apt near Tech Companies and Stanford,entire_home,2.0,,,,4.9,,0.567,0.567,0.567,1.0,1.0,362.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
74492d0d-3b04-4354-91d9-9138a05208d8,bdef28dc-2134-40b8-875d-350f7c28a0fe,1056797874583199785,https://www.airbnb.com/rooms/1056797874583199785?adults=5&check_in=2026-04-02&check_out=2026-04-04&search_mode=regular_search&source_impression_id=p3_1774835966_P3mgVq8u2urD9e5B&previous_page_section_name=1000&federated_search_id=f4c23b45-41cb-4f1d-b9ef-8f7ed2fec1cb,20% OFF! Chic Home with Expansive Backyard,entire_home,2.0,,,,4.74,,0.549,0.549,0.549,1.0,1.0,258.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
359ea191-412f-44f4-9f8e-18853017c907,bdef28dc-2134-40b8-875d-350f7c28a0fe,53609586,https://www.airbnb.com/rooms/53609586?adults=5&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774835957_P3QJBTTzhyp_06Mf&previous_page_section_name=1000&federated_search_id=a6c719da-7e53-470f-b69f-c44dcffb4048,Luxury Stays |Stanford| 3bd/2ba #pet #comfy,entire_home,3.0,2.0,,,4.69,,0.536,0.536,0.536,1.0,1.0,398.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
cf6d7563-b082-4cd0-8b7a-880014c56bfa,bdef28dc-2134-40b8-875d-350f7c28a0fe,1527951329204906685,https://www.airbnb.com/rooms/1527951329204906685?adults=5&check_in=2026-04-02&check_out=2026-04-04&search_mode=regular_search&source_impression_id=p3_1774835966_P3IQgGj2j_TtiT4L&previous_page_section_name=1000&federated_search_id=f4c23b45-41cb-4f1d-b9ef-8f7ed2fec1cb,Luxe Redwood City |3BR/2BA| Near Levi’s - 14 miles,entire_home,3.0,2.0,,,5.0,,0.536,0.536,0.536,1.0,1.0,410.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
76565ae9-72cf-49a1-9bf7-ef89261945ea,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1444097712671036249,https://www.airbnb.com/rooms/1444097712671036249?adults=10&check_in=2026-04-26&check_out=2026-04-28&search_mode=regular_search&source_impression_id=p3_1774836263_P3kiwmm9ZD4iEUTK&previous_page_section_name=1000&federated_search_id=019ce4f0-f39c-49ef-b20a-94ad4df75ea1,Lynnwood 5 Bed 3 Bath Large Home,entire_home,5.0,3.0,11.0,,5.0,,0.686,0.686,0.686,2.0,1.0,608.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
d266c8b4-1897-4203-ba50-a7cdeee2e093,bdef28dc-2134-40b8-875d-350f7c28a0fe,50736043,https://www.airbnb.com/rooms/50736043?adults=5&check_in=2026-04-06&check_out=2026-04-07&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774855117_P3biMZKK6aOpT3HI&previous_page_section_name=1000&federated_search_id=4ab68487-bb86-44fa-bfa7-1586b3852774,Apr 6 to 7,entire_home,2.0,2.0,5.0,,4.71,169.0,0.686,0.686,0.686,2.0,1.0,215.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
11767829-5fc7-4f10-9d0a-5b4c39e5defd,bdef28dc-2134-40b8-875d-350f7c28a0fe,556709390860334086,https://www.airbnb.com/rooms/556709390860334086?adults=5&check_in=2026-04-11&check_out=2026-04-13&search_mode=regular_search&source_impression_id=p3_1774855146_P3zZ5d8si8loiMh_&previous_page_section_name=1000&federated_search_id=0041e7c1-8b7f-41e1-b0bc-807125702fa0,Guest suite in San Carlos,entire_home,2.0,2.0,6.0,,4.69,124.0,0.686,0.669,0.669,2.0,1.0,290.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
56e258d6-2cf5-4a0e-a7ed-329a724dfb60,bdef28dc-2134-40b8-875d-350f7c28a0fe,1411796945034900734,https://www.airbnb.com/rooms/1411796945034900734?adults=5&check_in=2026-03-30&check_out=2026-04-01&search_mode=regular_search&source_impression_id=p3_1774855087_P3rWTXwj73cQtlTW&previous_page_section_name=1000&federated_search_id=8b829133-86ee-465a-8917-a1e79d6660c1,Mountain View Charmer,entire_home,2.0,,,,4.95,,0.567,0.567,0.567,2.0,1.0,359.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
